"","Genome","Accession","Source.information","Topology","Taxonomy","Molecule.type","Genome.length","Number.of.proteins","Host","Date.completed","Date.updated","first.acc","n.overlaps","len.overlaps"
"6884","Cripavirus NB-1/2011/HUN","NC_025219","strain:NB-1/2011/HUN","linear","['Viruses', 'Riboviria', 'Picornavirales', 'Dicistroviridae', 'Cripavirus', 'unclassified Cripavirus']","RNA",9136,NA,"invertebrates","10/03/2014","08/13/2018","NC_025219",NA,NA
"6885","Crohivirus A","NC_025474","strain:ZM54","linear","['Viruses', 'Riboviria', 'Picornavirales', 'Picornaviridae', 'Crohivirus']","RNA",7321,1,"vertebrates","11/17/2014","08/13/2018","NC_025474",0,NA
"6886","Crohivirus B","NC_033819","-","linear","['Viruses', 'Riboviria', 'Picornavirales', 'Picornaviridae', 'Crohivirus']","RNA",7085,1,"vertebrates","02/27/2017","02/23/2019","NC_033819",0,NA
"6887","Cronartium ribicola mitovirus 1","NC_030393","isolate:CrMV1-BC-u3","linear","['Viruses', 'Riboviria', 'Narnaviridae', 'Mitovirus', 'unclassified Mitovirus']","RNA",2715,1,"fungi","06/30/2016","08/13/2018","NC_030393",0,NA
"6888","Cronartium ribicola mitovirus 2","NC_030395","isolate:CrMV2-BC-u3","linear","['Viruses', 'Riboviria', 'Narnaviridae', 'Mitovirus', 'unclassified Mitovirus']","RNA",2471,1,"fungi","06/30/2016","08/13/2018","NC_030395",0,NA
"6889","Cronartium ribicola mitovirus 3","NC_030396","isolate:CrMV3-BC-u3","linear","['Viruses', 'Riboviria', 'Narnaviridae', 'Mitovirus', 'unclassified Mitovirus']","RNA",2522,1,"fungi","06/30/2016","08/13/2018","NC_030396",0,NA
"6890","Cronartium ribicola mitovirus 4","NC_030397","isolate:CrMV4-BC-u3","linear","['Viruses', 'Riboviria', 'Narnaviridae', 'Mitovirus', 'unclassified Mitovirus']","RNA",2479,1,"fungi","06/30/2016","08/13/2018","NC_030397",0,NA
"6891","Cronartium ribicola mitovirus 5","NC_030399","isolate:CrMV5-BC-u3","linear","['Viruses', 'Riboviria', 'Narnaviridae', 'Mitovirus', 'unclassified Mitovirus']","RNA",2631,1,"fungi","06/30/2016","08/13/2018","NC_030399",0,NA
"6892","Cryphonectria hypovirus 1","NC_001492","-","linear","['Viruses', 'Riboviria', 'Hypoviridae', 'Hypovirus']","ds-RNA",12734,2,"fungi","08/02/1993","08/13/2018","NC_001492",1,1
"6893","Cryphonectria hypovirus 2","NC_003534","strain:2; isolate:NB58","linear","['Viruses', 'Riboviria', 'Hypoviridae', 'Hypovirus']","ds-RNA",12507,2,"fungi","02/18/1994","08/13/2018","NC_003534",1,1
"6894","Cryphonectria hypovirus 3","NC_000960","isolate:CHV3-GH2 (WY)","linear","['Viruses', 'Riboviria', 'Hypoviridae', 'Hypovirus']","RNA",9799,1,"fungi","11/29/1999","08/13/2018","NC_000960",0,NA
"6895","Cryphonectria hypovirus 4","NC_006431","strain:SR2","linear","['Viruses', 'Riboviria', 'Hypoviridae', 'Hypovirus']","RNA",9149,1,"fungi","11/13/2004","08/13/2018","NC_006431",0,NA
"6896","Cryphonectria nitschkei chrysovirus 1","['NC_038779', 'NC_038778', 'NC_038781', 'NC_038780']","-","linear","['Viruses', 'Riboviria', 'Chrysoviridae', 'Alphachrysovirus']","RNA",11470,4,"fungi","08/24/2018","08/26/2018","NC_038779",0,NA
"6897","Cryphonectria nitschkei chrysovirus 1","['NC_038779', 'NC_038778', 'NC_038781', 'NC_038780']","-","linear","['Viruses', 'Riboviria', 'Chrysoviridae', 'Alphachrysovirus']","RNA",11470,4,"fungi","08/24/2018","08/26/2018","NC_038779",0,NA
"6898","Cryphonectria nitschkei chrysovirus 1","['NC_038779', 'NC_038778', 'NC_038781', 'NC_038780']","-","linear","['Viruses', 'Riboviria', 'Chrysoviridae', 'Alphachrysovirus']","RNA",11470,4,"fungi","08/24/2018","08/26/2018","NC_038779",0,NA
"6899","Cryphonectria nitschkei chrysovirus 1","['NC_038779', 'NC_038778', 'NC_038781', 'NC_038780']","-","linear","['Viruses', 'Riboviria', 'Chrysoviridae', 'Alphachrysovirus']","RNA",11470,4,"fungi","08/24/2018","08/26/2018","NC_038779",0,NA
"6900","Cryphonectria parasitica bipartite mycovirus 1","['NC_021222', 'NC_021223']","strain:09269","linear","['Viruses', 'Riboviria', 'dsRNA viruses']","RNA",3788,3,"fungi","05/16/2013","08/13/2018","NC_021222",0,NA
"6901","Cryphonectria parasitica bipartite mycovirus 1","['NC_021222', 'NC_021223']","strain:09269","linear","['Viruses', 'Riboviria', 'dsRNA viruses']","RNA",3788,3,"fungi","05/16/2013","08/13/2018","NC_021222",0,NA
"6902","Cryphonectria parasitica mitovirus 1-NB631","NC_004046","strain:NB631","linear","['Viruses', 'Riboviria', 'Narnaviridae', 'Mitovirus']","ds-RNA",2728,1,"fungi","04/14/1994","08/13/2018","NC_004046",0,NA
"6903","Cryphonectria parasitica mycoreovirus 2 (C18)","NC_038657","isolate:CpC18","linear","['Viruses', 'Riboviria', 'Reoviridae', 'Spinareovirinae', 'Mycoreovirus']","RNA",3213,1,"fungi","08/24/2018","08/24/2018","NC_038657",0,NA
"6904","Cryptosporidium parvum virus 1","['NC_038843', 'NC_038844']","strain:Iowa","linear","['Viruses', 'Riboviria', 'Partitiviridae', 'Cryspovirus']","RNA",3346,2,"algae","08/24/2018","06/04/2019","NC_038843",0,NA
"6905","Cryptosporidium parvum virus 1","['NC_038843', 'NC_038844']","strain:Iowa","linear","['Viruses', 'Riboviria', 'Partitiviridae', 'Cryspovirus']","RNA",3346,2,"algae","08/24/2018","06/04/2019","NC_038843",0,NA
"6906","Cucumber Bulgarian virus","NC_004725","-","linear","['Viruses', 'Riboviria', 'Tombusviridae', 'Procedovirinae', 'Tombusvirus']","RNA",4576,5,"plants","04/17/2003","08/13/2018","NC_004725",2,657
"6907","Cucumber fruit mottle mosaic virus","NC_002633","-","linear","['Viruses', 'Riboviria', 'Virgaviridae', 'Tobamovirus']","RNA",6562,3,"plants","12/28/2000","08/13/2018","NC_002633",0,NA
"6908","Cucumber green mottle mosaic virus","NC_001801","strain:SH","linear","['Viruses', 'Riboviria', 'Virgaviridae', 'Tobamovirus']","RNA",6424,4,"plants","04/29/1993","08/13/2018","NC_001801",3,1158.33333333333
"6909","Cucumber leaf spot virus","NC_007816","-","linear","['Viruses', 'Riboviria', 'Tombusviridae', 'Procedovirinae', 'Aureusvirus']","ss-RNA",4431,5,"plants","03/16/2006","08/13/2018","NC_007816",2,564
"6910","Cucumber mosaic virus","['NC_001440', 'NC_002035', 'NC_002034']","strain:Fny; common:cucumber mosaic cucumovirus","linear","['Viruses', 'Riboviria', 'Bromoviridae', 'Cucumovirus']","ss-RNA",8623,5,"plants","04/29/1993","08/13/2018","NC_001440",0,NA
"6911","Cucumber mosaic virus","['NC_001440', 'NC_002035', 'NC_002034']","strain:Fny; common:cucumber mosaic cucumovirus","linear","['Viruses', 'Riboviria', 'Bromoviridae', 'Cucumovirus']","ss-RNA",8623,5,"plants","04/29/1993","08/13/2018","NC_001440",0,NA
"6912","Cucumber mosaic virus","['NC_001440', 'NC_002035', 'NC_002034']","strain:Fny; common:cucumber mosaic cucumovirus","linear","['Viruses', 'Riboviria', 'Bromoviridae', 'Cucumovirus']","ss-RNA",8623,5,"plants","04/29/1993","08/13/2018","NC_001440",0,NA
"6913","Cucumber mottle virus","NC_008614","-","linear","['Viruses', 'Riboviria', 'Virgaviridae', 'Tobamovirus']","RNA",6485,4,"plants","12/05/2006","08/13/2018","NC_008614",3,1181.33333333333
"6914","Cucumber necrosis virus","NC_001469","-","linear","['Viruses', 'Riboviria', 'Tombusviridae', 'Procedovirinae', 'Tombusvirus']","ss-RNA",4701,5,"plants","08/02/1993","08/13/2018","NC_001469",2,706.5
"6915","Cucumber vein yellowing virus","NC_006941","strain:ALM32","linear","['Viruses', 'Riboviria', 'Potyviridae', 'Ipomovirus']","ss-RNA",9751,2,"plants","04/07/2005","08/13/2018","NC_006941",1,234
"6916","Cucumber vein-clearing virus","NC_043081","isolate:PV-0985","linear","['Viruses', 'Riboviria', 'Tymovirales', 'Betaflexiviridae', 'Quinvirinae', 'Carlavirus']","RNA",5218,6,"plants","06/28/2019","06/28/2019","NC_043081",2,21
"6917","Cucumis melo alphaendornavirus","NC_029064","isolate:CL-01","linear","['Viruses', 'Riboviria', 'Endornaviridae', 'Alphaendornavirus']","RNA",15078,1,"plants","02/05/2016","08/13/2018","NC_029064",0,NA
"6918","Cucurbit aphid-borne yellows virus","NC_003688","isolate:N","linear","['Viruses', 'Riboviria', 'Luteoviridae', 'Polerovirus']","ss-RNA",5669,7,"plants","01/13/1994","08/13/2018","NC_003688",8,609.25
"6919","Cucurbit chlorotic yellows virus","['NC_018174', 'NC_018173']","-","linear","['Viruses', 'Riboviria', 'Closteroviridae', 'Crinivirus', 'unclassified Crinivirus']","RNA",16648,11,"plants","07/18/2012","08/13/2018","NC_018174",3,NA
"6920","Cucurbit chlorotic yellows virus","['NC_018174', 'NC_018173']","-","linear","['Viruses', 'Riboviria', 'Closteroviridae', 'Crinivirus', 'unclassified Crinivirus']","RNA",16648,11,"plants","07/18/2012","08/13/2018","NC_018174",3,NA
"6921","Cucurbit mild mosaic virus","['NC_038759', 'NC_038760']","isolate:Beijing","linear","['Viruses', 'Riboviria', 'Picornavirales', 'Secoviridae', 'Comovirinae', 'Fabavirus']","RNA",9164,2,"plants","08/24/2018","08/24/2018","NC_038759",0,NA
"6922","Cucurbit mild mosaic virus","['NC_038759', 'NC_038760']","isolate:Beijing","linear","['Viruses', 'Riboviria', 'Picornavirales', 'Secoviridae', 'Comovirinae', 'Fabavirus']","RNA",9164,2,"plants","08/24/2018","08/24/2018","NC_038759",0,NA
"6923","Cucurbit vein banding virus","NC_035134","isolate:3.1","linear","['Viruses', 'Riboviria', 'Potyviridae', 'Potyvirus']","RNA",9969,2,"plants","06/27/2017","08/13/2018","NC_035134",1,180
"6924","Cucurbit yellow stunting disorder virus","['NC_004810', 'NC_004809']","isolate:AlLM","linear","['Viruses', 'Riboviria', 'Closteroviridae', 'Crinivirus']","RNA",17099,12,"plants","05/17/2003","08/13/2018","NC_004810",4,50.5
"6925","Cucurbit yellow stunting disorder virus","['NC_004810', 'NC_004809']","isolate:AlLM","linear","['Viruses', 'Riboviria', 'Closteroviridae', 'Crinivirus']","ss-RNA",17099,12,"plants","05/17/2003","08/13/2018","NC_004810",4,50.5
"6926","Culex Bastrovirus-like virus","NC_040647","strain:CAVL/Fresno","linear","['Viruses', 'Riboviria', 'Astroviridae', 'unclassified Astroviridae']","RNA",5415,1,"vertebrates","02/12/2019","02/12/2019","NC_040647",0,NA
"6927","Culex Flavi-like virus","NC_040645","strain:CFVL/San Francisco","linear","['Viruses', 'Riboviria', 'Flaviviridae']","RNA",10609,1,"","02/12/2019","02/12/2019","NC_040645",0,NA
"6928","Culex Iflavi-like virus 1","NC_040646","strain:CIVL1/Sutter","linear","['Viruses', 'Riboviria', 'Picornavirales', 'Iflaviridae', 'unclassified Iflaviridae']","RNA",10310,1,"invertebrates","02/12/2019","02/12/2019","NC_040646",0,NA
"6929","Culex Iflavi-like virus 4","['NC_040574', 'NC_040716', 'NC_040832']","strain:CIVL/Kern","linear","['Viruses', 'Riboviria', 'Picornavirales', 'Iflaviridae', 'unclassified Iflaviridae']","RNA",29690,3,"invertebrates","02/12/2019","02/12/2019","NC_040574",0,NA
"6930","Culex Iflavi-like virus 4","['NC_040574', 'NC_040716', 'NC_040832']","strain:CIVL/Kern","linear","['Viruses', 'Riboviria', 'Picornavirales', 'Iflaviridae', 'unclassified Iflaviridae']","RNA",29690,3,"invertebrates","02/12/2019","02/12/2019","NC_040574",0,NA
"6931","Culex Iflavi-like virus 4","['NC_040574', 'NC_040716', 'NC_040832']","strain:CIVL/Kern","linear","['Viruses', 'Riboviria', 'Picornavirales', 'Iflaviridae', 'unclassified Iflaviridae']","RNA",29690,3,"invertebrates","02/12/2019","02/12/2019","NC_040574",0,NA
"6932","Culex Tetra-like virus","NC_040717","strain:CTetVL/Riverside","linear","['Viruses', 'Riboviria', 'Alphatetraviridae', 'unclassified Alphatetraviridae']","RNA",2066,3,"","02/12/2019","02/12/2019","NC_040717",2,135
"6933","Culex flavivirus","NC_008604","strain:Tokyo","linear","['Viruses', 'Riboviria', 'Flaviviridae', 'Flavivirus']","RNA",10837,1,"vertebrates, invertebrates, human","11/30/2006","05/24/2019","NC_008604",0,NA
"6934","Culex originated Tymoviridae-like virus","NC_018703","-","linear","['Viruses', 'Riboviria', 'Tymovirales', 'Tymoviridae', 'Maculavirus', 'unclassified Maculavirus']","RNA",6471,2,"plants","10/02/2012","08/13/2018","NC_018703",0,NA
"6935","Culex pipiens associated Tunisia virus","NC_040723","isolate:AnEVT","linear","['Viruses', 'Riboviria', 'unclassified Riboviria', 'unclassified ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage']","ss-RNA",10910,4,"","02/12/2019","02/12/2019","NC_040723",0,NA
"6936","Culex theileri flavivirus","NC_040682","strain:JKT-8650","linear","['Viruses', 'Riboviria', 'Flaviviridae', 'Flavivirus']","RNA",10280,1,"vertebrates, invertebrates, human","02/12/2019","06/03/2019","NC_040682",0,NA
"6937","Culex tritaeniorhynchus rhabdovirus","NC_025384","strain:TY","linear","['Viruses', 'Riboviria', 'Negarnaviricota', 'Haploviricotina', 'Monjiviricetes', 'Mononegavirales', 'Rhabdoviridae', 'unclassified Rhabdoviridae']","RNA",11190,5,"invertebrates","10/30/2014","08/13/2018","NC_025384",0,NA
"6938","Culex tritaeniorhynchus totivirus","NC_040670","isolate:CTV_NJ3","linear","['Viruses', 'Riboviria', 'Totiviridae']","RNA",7624,2,"protozoa","02/12/2019","02/12/2019","NC_040670",0,NA
"6939","Culex-associated Tombus-like virus","NC_040575","strain:CaTomVL/Santa Cruz","linear","['Viruses', 'Riboviria', 'Tombusviridae']","RNA",2645,2,"plants","02/12/2019","02/12/2019","NC_040575",1,355
"6940","Culiseta flavivirus","NC_030290","strain:502-13","linear","['Viruses', 'Riboviria', 'Flaviviridae']","RNA",10864,1,"invertebrates","06/10/2016","08/13/2018","NC_030290",0,NA
"6941","Cumuto virus","['NC_043047', 'NC_043046', 'NC_043045']","strain:TR7904","linear","['Viruses', 'Riboviria', 'Negarnaviricota', 'Polyploviricotina', 'Ellioviricetes', 'Bunyavirales', 'Phenuiviridae', 'Goukovirus']","RNA",10812,3,"","06/28/2019","06/28/2019","NC_043047",0,NA
"6942","Cumuto virus","['NC_043047', 'NC_043046', 'NC_043045']","strain:TR7904","linear","['Viruses', 'Riboviria', 'Negarnaviricota', 'Polyploviricotina', 'Ellioviricetes', 'Bunyavirales', 'Phenuiviridae', 'Goukovirus']","RNA",10812,3,"","06/28/2019","06/28/2019","NC_043047",0,NA
"6943","Cumuto virus","['NC_043047', 'NC_043046', 'NC_043045']","strain:TR7904","linear","['Viruses', 'Riboviria', 'Negarnaviricota', 'Polyploviricotina', 'Ellioviricetes', 'Bunyavirales', 'Phenuiviridae', 'Goukovirus']","RNA",10812,3,"","06/28/2019","06/28/2019","NC_043047",0,NA
"6944","Cupixi mammarenavirus","['NC_010254', 'NC_010252']","strain:BeAn 119303","linear","['Viruses', 'Riboviria', 'Negarnaviricota', 'Polyploviricotina', 'Ellioviricetes', 'Bunyavirales', 'Arenaviridae', 'Mammarenavirus']","RNA",10438,4,"vertebrates, human","01/11/2008","08/13/2018","NC_010254",0,NA
"6945","Cupixi mammarenavirus","['NC_010254', 'NC_010252']","strain:BeAn 119303","linear","['Viruses', 'Riboviria', 'Negarnaviricota', 'Polyploviricotina', 'Ellioviricetes', 'Bunyavirales', 'Arenaviridae', 'Mammarenavirus']","RNA",10438,4,"vertebrates, human","01/11/2008","08/13/2018","NC_010254",0,NA
"6946","Curionopolis virus","NC_039201","strain:BeAr440009","linear","['Viruses', 'Riboviria', 'Negarnaviricota', 'Haploviricotina', 'Monjiviricetes', 'Mononegavirales', 'Rhabdoviridae', 'Curiovirus']","RNA",13170,10,"invertebrates","08/24/2018","08/24/2018","NC_039201",2,22.5
"6947","Currant latent virus","['NC_029038', 'NC_029036']","-","linear","['Viruses', 'Riboviria', 'Picornavirales', 'Secoviridae', 'Cheravirus']","RNA",9895,2,"plants","01/05/2016","08/13/2018","NC_029038",0,NA
"6948","Currant latent virus","['NC_029038', 'NC_029036']","-","linear","['Viruses', 'Riboviria', 'Picornavirales', 'Secoviridae', 'Cheravirus']","RNA",9895,2,"plants","01/05/2016","08/13/2018","NC_029038",0,NA
"6949","Currant virus A","NC_029301","-","linear","['Viruses', 'Riboviria', 'Tymovirales', 'Betaflexiviridae', 'Trivirinae', 'Capillovirus']","RNA",7925,2,"plants","02/22/2016","08/13/2018","NC_029301",1,1386
"6950","Curvularia thermal tolerance virus","['NC_010986', 'NC_010985']","-","linear","['Viruses', 'Riboviria', 'dsRNA viruses']","RNA",4035,4,"fungi","06/18/2008","08/13/2018","NC_010986",0,NA
"6951","Curvularia thermal tolerance virus","['NC_010986', 'NC_010985']","-","linear","['Viruses', 'Riboviria', 'dsRNA viruses']","RNA",4035,4,"fungi","06/18/2008","08/13/2018","NC_010986",0,NA
"6952","Cutthroat trout virus","NC_015521","isolate:Heenan88","linear","['Viruses', 'Riboviria', 'Hepeviridae', 'Piscihepevirus']","RNA",7310,3,"vertebrates, human","06/09/2011","08/13/2018","NC_015521",1,678
"6953","Cycas necrotic stunt virus","['NC_003791', 'NC_003792']","-","linear","['Viruses', 'Riboviria', 'Picornavirales', 'Secoviridae', 'Comovirinae', 'Nepovirus']","ss-RNA",12138,2,"plants","04/17/2002","08/13/2018","NC_003791",0,NA
"6954","Cycas necrotic stunt virus","['NC_003791', 'NC_003792']","-","linear","['Viruses', 'Riboviria', 'Picornavirales', 'Secoviridae', 'Comovirinae', 'Nepovirus']","ss-RNA",12138,2,"plants","04/17/2002","08/13/2018","NC_003791",0,NA
"6955","Cymbidium chlorotic mosaic virus","NC_027123","isolate:Cym92-20","linear","['Viruses', 'Riboviria', 'Solemoviridae', 'Sobemovirus']","RNA",4083,4,"plants","06/02/2015","08/13/2018","NC_027123",2,904.5
"6956","Cymbidium mosaic virus","NC_001812","-","linear","['Viruses', 'Riboviria', 'Tymovirales', 'Alphaflexiviridae', 'Potexvirus']","ss-RNA",6227,5,"plants","05/19/1997","08/13/2018","NC_001812",2,79.5
"6957","Cymbidium ringspot virus","NC_003532","-","linear","['Viruses', 'Riboviria', 'Tombusviridae', 'Procedovirinae', 'Tombusvirus']","ss-RNA",4733,5,"plants","11/23/1989","08/13/2018","NC_003532",2,705
"6958","Cypovirus 1","['NC_003016', 'NC_003022', 'NC_003019', 'NC_003024', 'NC_003023', 'NC_003021', 'NC_003018', 'NC_003025', 'NC_003017', 'NC_003020']","strain:Lymantria dispar cypovirus 1","linear","['Viruses', 'Riboviria', 'Reoviridae', 'Spinareovirinae', 'Cypovirus']","ds-RNA",24732,10,"invertebrates","07/17/2001","08/13/2018","NC_003016",0,NA
"6959","Cypovirus 1","['NC_003016', 'NC_003022', 'NC_003019', 'NC_003024', 'NC_003023', 'NC_003021', 'NC_003018', 'NC_003025', 'NC_003017', 'NC_003020']","strain:Lymantria dispar cypovirus 1","linear","['Viruses', 'Riboviria', 'Reoviridae', 'Spinareovirinae', 'Cypovirus']","ds-RNA",24732,10,"invertebrates","07/17/2001","08/13/2018","NC_003016",0,NA
"6960","Cypovirus 1","['NC_003016', 'NC_003022', 'NC_003019', 'NC_003024', 'NC_003023', 'NC_003021', 'NC_003018', 'NC_003025', 'NC_003017', 'NC_003020']","strain:Lymantria dispar cypovirus 1","linear","['Viruses', 'Riboviria', 'Reoviridae', 'Spinareovirinae', 'Cypovirus']","ds-RNA",24732,10,"invertebrates","07/17/2001","08/13/2018","NC_003016",0,NA
"6961","Cypovirus 1","['NC_003016', 'NC_003022', 'NC_003019', 'NC_003024', 'NC_003023', 'NC_003021', 'NC_003018', 'NC_003025', 'NC_003017', 'NC_003020']","strain:Lymantria dispar cypovirus 1","linear","['Viruses', 'Riboviria', 'Reoviridae', 'Spinareovirinae', 'Cypovirus']","ds-RNA",24732,10,"invertebrates","07/17/2001","08/13/2018","NC_003016",0,NA
"6962","Cypovirus 1","['NC_003016', 'NC_003022', 'NC_003019', 'NC_003024', 'NC_003023', 'NC_003021', 'NC_003018', 'NC_003025', 'NC_003017', 'NC_003020']","strain:Lymantria dispar cypovirus 1","linear","['Viruses', 'Riboviria', 'Reoviridae', 'Spinareovirinae', 'Cypovirus']","ds-RNA",24732,10,"invertebrates","07/17/2001","08/13/2018","NC_003016",0,NA
"6963","Cypovirus 1","['NC_003016', 'NC_003022', 'NC_003019', 'NC_003024', 'NC_003023', 'NC_003021', 'NC_003018', 'NC_003025', 'NC_003017', 'NC_003020']","strain:Lymantria dispar cypovirus 1","linear","['Viruses', 'Riboviria', 'Reoviridae', 'Spinareovirinae', 'Cypovirus']","ds-RNA",24732,10,"invertebrates","07/17/2001","08/13/2018","NC_003016",0,NA
"6964","Cypovirus 1","['NC_003016', 'NC_003022', 'NC_003019', 'NC_003024', 'NC_003023', 'NC_003021', 'NC_003018', 'NC_003025', 'NC_003017', 'NC_003020']","strain:Lymantria dispar cypovirus 1","linear","['Viruses', 'Riboviria', 'Reoviridae', 'Spinareovirinae', 'Cypovirus']","ds-RNA",24732,10,"invertebrates","07/17/2001","08/13/2018","NC_003016",0,NA
"6965","Cypovirus 1","['NC_003016', 'NC_003022', 'NC_003019', 'NC_003024', 'NC_003023', 'NC_003021', 'NC_003018', 'NC_003025', 'NC_003017', 'NC_003020']","strain:Lymantria dispar cypovirus 1","linear","['Viruses', 'Riboviria', 'Reoviridae', 'Spinareovirinae', 'Cypovirus']","ds-RNA",24732,10,"invertebrates","07/17/2001","08/13/2018","NC_003016",0,NA
"6966","Cypovirus 1","['NC_003016', 'NC_003022', 'NC_003019', 'NC_003024', 'NC_003023', 'NC_003021', 'NC_003018', 'NC_003025', 'NC_003017', 'NC_003020']","strain:Lymantria dispar cypovirus 1","linear","['Viruses', 'Riboviria', 'Reoviridae', 'Spinareovirinae', 'Cypovirus']","ds-RNA",24732,10,"invertebrates","07/17/2001","08/13/2018","NC_003016",0,NA
"6967","Cypovirus 1","['NC_003016', 'NC_003022', 'NC_003019', 'NC_003024', 'NC_003023', 'NC_003021', 'NC_003018', 'NC_003025', 'NC_003017', 'NC_003020']","strain:Lymantria dispar cypovirus 1","linear","['Viruses', 'Riboviria', 'Reoviridae', 'Spinareovirinae', 'Cypovirus']","ds-RNA",24732,10,"invertebrates","07/17/2001","08/13/2018","NC_003016",0,NA
"6968","Cypovirus 14","['NC_003012', 'NC_003007', 'NC_003006', 'NC_003008', 'NC_003013', 'NC_003014', 'NC_003011', 'NC_003015', 'NC_003010', 'NC_003009']","-","linear","['Viruses', 'Riboviria', 'Reoviridae', 'Spinareovirinae', 'Cypovirus']","ds-RNA",25325,11,"invertebrates","07/16/2001","08/13/2018","NC_003012",0,NA
"6969","Cypovirus 14","['NC_003012', 'NC_003007', 'NC_003006', 'NC_003008', 'NC_003013', 'NC_003014', 'NC_003011', 'NC_003015', 'NC_003010', 'NC_003009']","-","linear","['Viruses', 'Riboviria', 'Reoviridae', 'Spinareovirinae', 'Cypovirus']","ds-RNA",25325,11,"invertebrates","07/16/2001","08/13/2018","NC_003012",0,NA
"6970","Cypovirus 14","['NC_003012', 'NC_003007', 'NC_003006', 'NC_003008', 'NC_003013', 'NC_003014', 'NC_003011', 'NC_003015', 'NC_003010', 'NC_003009']","-","linear","['Viruses', 'Riboviria', 'Reoviridae', 'Spinareovirinae', 'Cypovirus']","ds-RNA",25325,11,"invertebrates","07/16/2001","08/13/2018","NC_003012",0,NA
"6971","Cypovirus 14","['NC_003012', 'NC_003007', 'NC_003006', 'NC_003008', 'NC_003013', 'NC_003014', 'NC_003011', 'NC_003015', 'NC_003010', 'NC_003009']","-","linear","['Viruses', 'Riboviria', 'Reoviridae', 'Spinareovirinae', 'Cypovirus']","ds-RNA",25325,11,"invertebrates","07/16/2001","08/13/2018","NC_003012",0,NA
"6972","Cypovirus 14","['NC_003012', 'NC_003007', 'NC_003006', 'NC_003008', 'NC_003013', 'NC_003014', 'NC_003011', 'NC_003015', 'NC_003010', 'NC_003009']","-","linear","['Viruses', 'Riboviria', 'Reoviridae', 'Spinareovirinae', 'Cypovirus']","ds-RNA",25325,11,"invertebrates","07/16/2001","08/13/2018","NC_003012",0,NA
"6973","Cypovirus 14","['NC_003012', 'NC_003007', 'NC_003006', 'NC_003008', 'NC_003013', 'NC_003014', 'NC_003011', 'NC_003015', 'NC_003010', 'NC_003009']","-","linear","['Viruses', 'Riboviria', 'Reoviridae', 'Spinareovirinae', 'Cypovirus']","ds-RNA",25325,11,"invertebrates","07/16/2001","08/13/2018","NC_003012",0,NA
"6974","Cypovirus 14","['NC_003012', 'NC_003007', 'NC_003006', 'NC_003008', 'NC_003013', 'NC_003014', 'NC_003011', 'NC_003015', 'NC_003010', 'NC_003009']","-","linear","['Viruses', 'Riboviria', 'Reoviridae', 'Spinareovirinae', 'Cypovirus']","ds-RNA",25325,11,"invertebrates","07/16/2001","08/13/2018","NC_003012",0,NA
"6975","Cypovirus 14","['NC_003012', 'NC_003007', 'NC_003006', 'NC_003008', 'NC_003013', 'NC_003014', 'NC_003011', 'NC_003015', 'NC_003010', 'NC_003009']","-","linear","['Viruses', 'Riboviria', 'Reoviridae', 'Spinareovirinae', 'Cypovirus']","ds-RNA",25325,11,"invertebrates","07/16/2001","08/13/2018","NC_003012",0,NA
"6976","Cypovirus 14","['NC_003012', 'NC_003007', 'NC_003006', 'NC_003008', 'NC_003013', 'NC_003014', 'NC_003011', 'NC_003015', 'NC_003010', 'NC_003009']","-","linear","['Viruses', 'Riboviria', 'Reoviridae', 'Spinareovirinae', 'Cypovirus']","ds-RNA",25325,11,"invertebrates","07/16/2001","08/13/2018","NC_003012",0,NA
"6977","Cypovirus 14","['NC_003012', 'NC_003007', 'NC_003006', 'NC_003008', 'NC_003013', 'NC_003014', 'NC_003011', 'NC_003015', 'NC_003010', 'NC_003009']","-","linear","['Viruses', 'Riboviria', 'Reoviridae', 'Spinareovirinae', 'Cypovirus']","ds-RNA",25325,11,"invertebrates","07/16/2001","08/13/2018","NC_003012",0,NA
"6978","Cypovirus 5","['NC_010661', 'NC_010668', 'NC_010667', 'NC_010669', 'NC_010666', 'NC_010665', 'NC_010662', 'NC_010664', 'NC_010663', 'NC_010670']","-","linear","['Viruses', 'Riboviria', 'Reoviridae', 'Spinareovirinae', 'Cypovirus']","RNA",24818,10,"invertebrates","05/08/2008","08/13/2018","NC_010661",0,NA
"6979","Cypovirus 5","['NC_010661', 'NC_010668', 'NC_010667', 'NC_010669', 'NC_010666', 'NC_010665', 'NC_010662', 'NC_010664', 'NC_010663', 'NC_010670']","-","linear","['Viruses', 'Riboviria', 'Reoviridae', 'Spinareovirinae', 'Cypovirus']","RNA",24818,10,"invertebrates","05/08/2008","08/13/2018","NC_010661",0,NA
"6980","Cypovirus 5","['NC_010661', 'NC_010668', 'NC_010667', 'NC_010669', 'NC_010666', 'NC_010665', 'NC_010662', 'NC_010664', 'NC_010663', 'NC_010670']","-","linear","['Viruses', 'Riboviria', 'Reoviridae', 'Spinareovirinae', 'Cypovirus']","RNA",24818,10,"invertebrates","05/08/2008","08/13/2018","NC_010661",0,NA
